Period Name,Position,Total Duration,Total Distance,Meterage Per Minute,HSD,VHSD,VHSD Relative,Sprint Distance,Velocity B7+ Total # Efforts (Gen 2) (Set 2),Maximum Velocity,Acceleration B2-3 Total Efforts (Gen 2),Deceleration B2-3 Total Efforts (Gen 2),Acceleration B3 Efforts (Gen 2),Deceleration B3 Distance (Gen 2),Max Acceleration,Max Deceleration,Acceleration Density,Total Acceleration Load,Running Imbalance,Total IMA,RHIE Total Bouts,Meta Energy (KJ/kg),HSD Per Minute,VHSD Per Minute,Sprint Distance Per Minute,RHIE Bouts Per Minute,Meta Energy (kj/kg) Per Minute,HI Accels Per Minute,VHI Accels Per Minute
Transition Game - GB into Tryline,Outside Backs,0 days 00:14:40,1062.697793,72.39825625,43.55875,11.64,9.1875,0,0,7.35649,6.125,6.375,0.625,0.88125,3.910555,-4.52175875,0.429055,377.8734613,1.25131125,2.75,3.875,5.33417,0.04946,0.01321625,0,0.0044,0.00144625,0.00695625,0.00071125
Transition Game - GB into Tryline,Service,0 days 00:14:40,1282.33709,87.36158857,48.36571429,5.782857143,4.795714286,0,0,6.56048,10,10.57142857,1.285714286,0.934285714,4.255681429,-4.219648571,0.536508571,472.5089314,2.020254286,7.428571429,6.571428571,6.582094286,0.054917143,0.006565714,0,0.007461429,0.001785714,0.011355714,0.00146
Transition Game - GB into Tryline 2,Edges,0 days 00:10:44,866.660535,80.7347425,18.81,3.1725,4.885,0,0,6.891645,5,5.5,0,0.565,3.4255275,-4.2625575,0.509505,328.1626175,-2.844535,5.75,4,4.371935,0.029205,0.004925,0,0.0062125,0.00162,0.0077625,0
Transition Game - GB into Tryline 2,Middles,0 days 00:10:07.285714285,808.1153471,79.62385429,2.565714286,0,0,0,0,5.743645714,6.714285714,6,0.285714286,0.51,3.694777143,-4.213252857,0.513207143,313.8068286,-1.421517143,9,5,4.106432857,0.004218571,0,0,0.008205714,0.001608571,0.011012857,0.000444286
Transition Game - GB into Tryline 2,Outside Backs,0 days 00:10:44,798.6308571,74.39736,27.41428571,1.647142857,1.818571429,0,0,6.864597143,4.571428571,5,0.285714286,0.818571429,3.443677143,-4.203255714,0.458422857,295.2606286,-0.722302857,4.571428571,2.571428571,4.00762,0.042564286,0.002557143,0,0.003992857,0.001488571,0.007098571,0.000444286
Transition Game - GB into Tryline 2,Service,0 days 00:10:44,957.3698914,89.18487429,22.11857143,0,0,0,0,6.183788571,7.857142857,7.571428571,0.428571429,0.39,3.993087143,-4.235945714,0.555634286,357.8725986,-0.94053,4.285714286,4.428571429,4.903957143,0.034341429,0,0,0.006875714,0.001821429,0.012198571,0.000664286
Transition Game - Primer,Edges,0 days 00:06:49,595.7649125,87.89634375,19.3975,0.48875,0.97,0,0,6.5310975,3.375,5,0.125,0.185,3.45867125,-4.04512125,0.56135875,232.4489625,3.7691925,2,3.25,3.10026125,0.04785875,0.00193625,0,0.00793125,0.0018175,0.0087025,0.000495
Transition Game - Primer,Middles,0 days 00:06:49,639.9740042,93.30724333,7.486666667,0,1.124166667,0,0,6.025500833,5.666666667,3.166666667,0,0.105,3.5701925,-3.621756667,0.572996667,239.2186117,0.064685833,1.75,2.916666667,3.2975925,0.018726667,0,0,0.006976667,0.001915833,0.013845,0
Transition Game - Primer,Outside Backs,0 days 00:06:34.882352941,510.8426547,77.08636706,23.10941176,3.025294118,3.108823529,0,0,6.679311176,1.705882353,2.647058824,0,0.210588235,3.257729412,-3.98985,0.456520588,183.0318576,1.916764706,1.235294118,1.235294118,2.564337647,0.070112941,0.00959,0,0.003471176,0.001546471,0.004544706,0
Transition Game - Primer,Service,0 days 00:06:39.117647058,650.2197276,98.08318059,19.58235294,1.442941176,1.850588235,0,0,6.282016471,4.176470588,3.882352941,0.352941176,0.168823529,3.716574118,-3.631404706,0.580065882,232.5139671,1.457967647,2.117647059,2.058823529,3.312748824,0.055867647,0.005632353,0,0.005333529,0.001997059,0.011841765,0.001020588
